artists,avg_popularity,track_count,avg_danceability,avg_energy,avg_mood,genres
Sam Smith;Kim Petras,100.0,2,0.714,0.472,0.332,"dance, pop"
Manuel Turizo,98.0,4,0.835,0.679,0.782,"latin, latino, reggae"
Bad Bunny;Chencho Corleone,97.0,4,0.911,0.712,0.54,"latin, latino, reggae"
Bad Bunny;Bomba Estéreo,94.5,4,0.647,0.686,0.435,"latin, latino, reggae"
Harry Styles,92.0,3,0.529,0.759,0.68,pop
Rauw Alejandro;Lyanno;Brray,91.0,2,0.834,0.828,0.679,"latin, latino"
Luar La L,90.5,4,0.704,0.756,0.579,"latin, latino, reggae"
Bad Bunny;Tony Dize,90.0,3,0.663,0.786,0.662,"latino, reggae, reggaeton"
Bad Bunny;Rauw Alejandro,90.0,3,0.829,0.799,0.602,"latino, reggae, reggaeton"
Nicki Minaj,89.0,3,0.95,0.887,0.904,"dance, hip-hop"
Lost Frequencies;Calum Scott,88.0,3,0.671,0.636,0.412,"dance, edm, house"
The Kid LAROI;Justin Bieber,87.5,4,0.591,0.764,0.592,"hip-hop, pop"
Olivia Rodrigo,87.4,5,0.468,0.498,0.37,pop
Bad Bunny,87.083,48,0.79,0.647,0.552,"latin, latino, reggae"
Tainy;Bad Bunny;Julieta Venegas,87.0,3,0.639,0.703,0.364,"latino, reggae, reggaeton"
Bad Bunny;Jhayco,87.0,8,0.763,0.629,0.421,"latin, latino, reggae"
Imanbek;BYOR,87.0,4,0.845,0.797,0.572,"dance, edm, electro"
benny blanco;BTS;Snoop Dogg,87.0,3,0.762,0.861,0.917,"dance, electro, pop"
Chris Brown,86.5,4,0.676,0.655,0.492,"dance, pop"
Bad Bunny;Buscabulla,86.0,2,0.797,0.616,0.517,"latino, reggaeton"
Piso 21;Manuel Turizo,85.0,3,0.774,0.73,0.545,"latino, reggae, reggaeton"
Bad Bunny;The Marías,85.0,2,0.777,0.595,0.566,"latino, reggaeton"
Alesso;Zara Larsson,85.0,3,0.739,0.586,0.501,"edm, electro, house"
Gesaffelstein;The Weeknd,85.0,2,0.658,0.671,0.368,"club, techno"
Camila Cabello;Ed Sheeran,84.5,2,0.756,0.697,0.852,dance
Lil Nas X;Jack Harlow,84.333,3,0.738,0.7,0.816,"hip-hop, pop"
The Chainsmokers;Halsey,84.0,5,0.748,0.524,0.606,"dance, edm, electro"
Alok;Ella Eyre;Kenny Dope;Never Dull,84.0,2,0.687,0.818,0.859,"electro, house"
Zion & Lennox,84.0,4,0.808,0.697,0.611,"latin, latino, reggae"
Marshmello;Khalid,84.0,10,0.716,0.768,0.582,"dance, edm, electro"
Bad Bunny;Daddy Yankee,84.0,3,0.744,0.868,0.699,"latino, reggae, reggaeton"
Shakira;Wyclef Jean,84.0,2,0.778,0.824,0.784,"dance, latin"
Yot Club,84.0,2,0.372,0.537,0.352,"indie-pop, indie"
Doja Cat;The Weeknd,84.0,2,0.828,0.621,0.51,"dance, pop"
IVE,84.0,3,0.737,0.787,0.7,k-pop
Lil Nas X,83.714,7,0.688,0.636,0.604,"hip-hop, pop"
Måneskin,83.667,12,0.654,0.725,0.67,"indie-pop, indie, rock"
Kendrick Lamar,83.5,2,0.849,0.646,0.507,hip-hop
Foster The People,83.5,2,0.733,0.71,0.863,"indie, rock"
Morgan Wallen,83.333,3,0.617,0.729,0.612,country
Becky G;KAROL G,83.0,4,0.839,0.702,0.82,"reggae, reggaeton"
Rauw Alejandro;Chencho Corleone,83.0,2,0.869,0.694,0.584,latino
XXXTENTACION;Trippie Redd,83.0,2,0.797,0.533,0.411,"emo, hip-hop"
Wisin & Yandel;ROSALÍA,83.0,3,0.736,0.727,0.677,"latino, reggae, reggaeton"
One Direction,83.0,5,0.653,0.688,0.597,pop
Ariana Grande;Justin Bieber,83.0,2,0.597,0.45,0.502,"dance, pop"
Dr. Dre;Snoop Dogg,83.0,3,0.851,0.82,0.6,"funk, hip-hop"
Bad Bunny;Ozuna;Farruko;Arcangel;Ñengo Flow;DJ Luian;Mambo Kingz,83.0,2,0.813,0.56,0.396,"latino, reggaeton"
Jax Jones;MNEK,83.0,3,0.763,0.782,0.614,"edm, electro, house"
Charlie Puth;Selena Gomez,82.0,2,0.728,0.563,0.436,"dance, pop"
TV Girl,82.0,5,0.617,0.842,0.681,"indie-pop, indie"
Öwnboss;Sevek,82.0,2,0.848,0.821,0.478,"brazil, edm"
El Alfa;Noriel;Trueno,82.0,2,0.868,0.878,0.891,"latino, reggaeton"
Gym Class Heroes;Adam Levine,82.0,2,0.646,0.795,0.796,"dance, pop"
Bad Bunny;ROSALÍA,82.0,3,0.856,0.618,0.482,"latino, reggae, reggaeton"
Riton;Nightcrawlers;Mufasa & Hypeman;Dopamine,82.0,2,0.824,0.862,0.825,"edm, house"
AP Dhillon;Gurinder Gill;Intense,82.0,2,0.837,0.717,0.583,"hip-hop, pop"
De La Ghetto;Rauw Alejandro,82.0,2,0.848,0.673,0.503,"latino, reggaeton"
Doja Cat;SZA,81.5,2,0.763,0.703,0.738,dance
Mac DeMarco,81.5,4,0.52,0.661,0.554,"edm, indie"
Ariana Grande,81.455,11,0.714,0.612,0.482,"dance, pop"
Charlie Puth;Jung Kook;BTS,81.25,4,0.881,0.592,0.668,"dance, pop"
Eminem,81.167,6,0.809,0.775,0.634,hip-hop
Travis Scott;HVME,81.0,2,0.841,0.593,0.722,"hip-hop, house"
Regard,81.0,3,0.88,0.751,0.831,"edm, electro, house"
Liana Flores,81.0,2,0.483,0.129,0.173,"indie-pop, indie"
Cults,81.0,2,0.174,0.742,0.513,"indie-pop, indie"
Joel Corry;Jax Jones;Charli XCX;Saweetie,81.0,2,0.787,0.833,0.811,"edm, house"
Calvin Harris;Rihanna,81.0,4,0.631,0.927,0.65,"dance, electro, house"
Natti Natasha;Daddy Yankee;Wisin & Yandel,81.0,3,0.625,0.839,0.798,"latino, reggae, reggaeton"
The Chainsmokers;Coldplay,80.556,9,0.613,0.641,0.54,"dance, edm, electro"
Ricky Montgomery,80.5,4,0.536,0.589,0.534,"indie-pop, indie"
Bad Bunny;Tainy,80.5,4,0.609,0.625,0.397,"latino, reggaeton"
The Kid LAROI,80.5,2,0.519,0.535,0.415,hip-hop
Luke Combs,80.333,3,0.549,0.599,0.5,country
Suki Waterhouse,80.0,2,0.377,0.558,0.383,"indie-pop, indie"
Rvssian;Rauw Alejandro;Chris Brown,80.0,4,0.734,0.846,0.701,"latin, latino, reggae"
Myke Towers,80.0,3,0.747,0.619,0.588,"latino, reggae, reggaeton"
Majestic;Boney M.,80.0,2,0.758,0.913,0.76,"dance, house"
Kygo;Gryffin;Calum Scott,80.0,2,0.643,0.585,0.347,"edm, house"
Van Morrison,80.0,3,0.491,0.583,0.778,"folk, singer-songwriter, songwriter"
Maluma;Chencho Corleone,80.0,2,0.822,0.719,0.683,"latino, reggaeton"
Selena Gomez;Marshmello,80.0,2,0.724,0.804,0.505,"dance, pop"
Camila Cabello;Young Thug,80.0,2,0.765,0.523,0.446,"dance, pop"
David Guetta;Sia,80.0,2,0.604,0.787,0.495,"dance, edm"
Ali Gatie,80.0,2,0.732,0.463,0.423,"hip-hop, pop"
Declan McKenna,80.0,3,0.687,0.617,0.646,"alt-rock, alternative, indie-pop"
Troye Sivan,80.0,5,0.58,0.586,0.446,"dance, pop"
The Chainsmokers;Daya,80.0,4,0.532,0.869,0.601,"dance, edm, electro"
ZAYN;Taylor Swift,80.0,2,0.731,0.445,0.242,"dance, pop"
Joy Again,80.0,3,0.682,0.9,0.922,"garage, indie-pop, indie"
Gabry Ponte;LUM!X;Prezioso,80.0,3,0.67,0.896,0.6,"dance, edm, house"
Bad Bunny;Jhay Cortez,80.0,4,0.731,0.573,0.316,"latin, latino, reggae"
Bad Bunny;Jowell & Randy;Ñengo Flow,80.0,2,0.607,0.829,0.743,"latino, reggaeton"
Roar,80.0,2,0.247,0.438,0.409,"indie-pop, indie"
Axwell /\ Ingrosso,80.0,4,0.646,0.741,0.639,"dance, edm, electro"
5 Seconds of Summer,80.0,2,0.676,0.651,0.436,dance
Rels B,79.833,6,0.719,0.494,0.437,"latino, spanish"
Rauw Alejandro,79.667,3,0.775,0.687,0.463,latino
Luciano;Aitch;BIA,79.5,2,0.798,0.798,0.813,german
Kodaline,79.5,2,0.354,0.518,0.318,rock
Beach Bunny,79.429,7,0.532,0.865,0.816,"indie-pop, indie, rock"
MGMT,79.333,9,0.632,0.806,0.614,"alt-rock, alternative, indie"
Shakira;Freshlyground,79.0,2,0.766,0.873,0.795,"dance, latin"
Galantis;David Guetta;Little Mix,79.0,3,0.595,0.784,0.601,"edm, electro, house"
Dynoro;Gigi D'Agostino,79.0,3,0.694,0.77,0.406,"edm, electro, house"
Martin Garrix;Bebe Rexha,79.0,4,0.501,0.519,0.308,"dance, edm, house"
Rixton,79.0,2,0.545,0.783,0.644,"dance, rock"
Men I Trust,79.0,2,0.791,0.267,0.433,"indie-pop, indie"
A.R. Rahman;Madhushree,79.0,2,0.715,0.654,0.719,"pop-film, pop"
MEDUZA;Dermot Kennedy,79.0,3,0.632,0.595,0.499,"edm, electro, house"
Nio Garcia;J Balvin;Bad Bunny,79.0,2,0.743,0.655,0.733,"latino, reggaeton"
Kygo;DNCE,79.0,2,0.75,0.797,0.633,"edm, house"
Jennifer Lopez;Pitbull,79.0,2,0.73,0.777,0.656,"dance, pop"
Santhosh Narayanan;Anirudh Ravichander,79.0,2,0.764,0.532,0.728,"pop-film, pop"
Mitski,78.889,9,0.482,0.638,0.509,"indie-pop, indie"
NMIXX,78.5,2,0.473,0.782,0.587,k-pop
Feid;Yandel,78.5,2,0.812,0.697,0.565,"latino, reggaeton"
Daft Punk;Pharrell Williams;Nile Rodgers,78.5,4,0.802,0.802,0.838,"electro, house"
ATB;Topic;A7S,78.333,3,0.669,0.784,0.624,"german, techno, trance"
Selena Gomez & The Scene,78.333,3,0.741,0.844,0.819,"dance, pop"
Calvin Harris;Dua Lipa,78.125,8,0.777,0.858,0.697,"dance, electro, house"
Pixies,78.0,4,0.516,0.442,0.324,"alt-rock, alternative"
LE SSERAFIM,78.0,4,0.826,0.736,0.705,k-pop
Martin Garrix;Dua Lipa,78.0,4,0.584,0.54,0.333,"dance, edm, house"
The Backseat Lovers,78.0,2,0.329,0.444,0.313,"indie-pop, indie"
Neil Diamond,78.0,3,0.529,0.127,0.398,"folk, singer-songwriter, songwriter"
G-Eazy;Bebe Rexha,78.0,2,0.756,0.674,0.503,"indie-pop, indie"
Modjo,78.0,2,0.72,0.808,0.845,"disco, house"
AnnenMayKantereit;Giant Rooks,78.0,4,0.68,0.428,0.372,"german, indie, singer-songwriter"
Nio Garcia;Casper Magico;Bad Bunny;Darell;Ozuna;Nicky Jam,78.0,3,0.903,0.675,0.535,"latino, reggae, reggaeton"
Pamungkas,78.0,2,0.668,0.727,0.854,"singer-songwriter, songwriter"
Anuel AA;Daddy Yankee;Zion & Lennox;Farruko;Wisin,78.0,2,0.639,0.869,0.808,"latino, reggaeton"
Myke Towers;Jhay Cortez,78.0,2,0.825,0.736,0.599,"latino, reggaeton"
Maroon 5,77.5,2,0.527,0.534,0.491,pop
Mother Mother,77.333,3,0.456,0.848,0.505,indie
Rage Against The Machine,77.286,7,0.47,0.875,0.717,"alt-rock, alternative, funk"
Tiago PZK;Myke Towers,77.0,2,0.845,0.776,0.627,latino
Sigala;Talia Mar,77.0,2,0.636,0.936,0.623,"edm, house"
Franz Ferdinand,77.0,3,0.387,0.812,0.685,"alt-rock, alternative"
Dr. Dog,77.0,2,0.454,0.82,0.673,"folk, indie"
Kygo;Selena Gomez,77.0,3,0.64,0.533,0.522,"dance, edm, house"
Blackstreet;Dr. Dre;Queen Pen,77.0,4,0.867,0.646,0.66,"j-dance, j-pop, r-n-b"
Calvin Harris;Sam Smith;Jessie Reyez,77.0,3,0.781,0.768,0.599,"electro, house, progressive-house"
Sleepy Hallow,77.0,2,0.802,0.515,0.591,r-n-b
Jay Wheeler;DJ Nelson;Myke Towers,77.0,4,0.827,0.714,0.748,"latino, reggaeton"
PUBLIC,77.0,2,0.606,0.799,0.702,"indie, rock"
Phantogram,77.0,2,0.542,0.795,0.577,"indie, rock"
The Vamps,77.0,2,0.526,0.818,0.865,"dance, pop"
Calvin Harris;Disciples,77.0,3,0.738,0.868,0.549,"electro, house, progressive-house"
mazie,77.0,3,0.759,0.513,0.585,"indie-pop, indie"
Yasser Desai;Neha Kakkar;Rajat Nagpal,77.0,2,0.55,0.448,0.412,"pop-film, pop"
Kansas,77.0,2,0.478,0.554,0.576,hard-rock
Ankit Tiwari;Manoj Muntashir,77.0,2,0.43,0.612,0.389,"pop-film, pop"
Clairo,77.0,10,0.711,0.454,0.485,"indie-pop, indie"
Ritt Momney,77.0,2,0.399,0.491,0.287,"indie-pop, indie"
Kygo;Conrad Sewell,77.0,2,0.704,0.634,0.5,"edm, house"
Two Feet,77.0,8,0.66,0.365,0.266,"indie-pop, indie, rock"
Ellie Goulding;Speed Radio,77.0,4,0.653,0.836,0.817,"edm, electro, indie-pop"
Alicia Keys,76.75,4,0.555,0.517,0.3,soul
Shubh,76.75,4,0.804,0.468,0.525,hip-hop
Farruko,76.692,13,0.736,0.773,0.611,"latin, latino, reggae"
Coolio;L.V.,76.667,3,0.601,0.522,0.438,"funk, hip-hop"
Radiohead,76.65,20,0.389,0.436,0.303,"alt-rock, alternative, indie"
WALK THE MOON,76.6,5,0.54,0.828,0.647,"alt-rock, alternative, rock"
benny blanco;Halsey;Khalid,76.5,4,0.596,0.683,0.468,"dance, electro"
LISA,76.333,3,0.819,0.586,0.565,"k-pop, pop"
Travis Scott,76.278,18,0.72,0.621,0.422,"hip-hop, house"
Vundabar,76.25,4,0.449,0.745,0.576,"garage, indie-pop, indie"
Anuel AA,76.143,7,0.723,0.632,0.637,"latino, reggaeton"
Labrinth,76.083,12,0.545,0.603,0.486,"indie-pop, indie"
Jonas Blue;Why Don't We,76.0,3,0.621,0.747,0.554,"dance, edm, house"
Regard;Troye Sivan;Tate McRae,76.0,3,0.691,0.695,0.586,"edm, electro, house"
Danzig,76.0,2,0.365,0.763,0.51,"hard-rock, metal"
